time_period,SE,disease_cases,location
2022/3/20,202212,177,loc1
2022/3/27,202213,153,loc1
2022/4/3,202214,222,loc1
2022/4/10,202215,201,loc1
2022/4/17,202216,234,loc1
2022/4/24,202217,342,loc1
2022/5/1,202218,461,loc1
2022/5/8,202219,505,loc1
2022/5/15,202220,406,loc1
2022/5/22,202221,400,loc1
2022/5/29,202222,338,loc1
2022/6/5,202223,255,loc1
2022/6/12,202224,153,loc1
2022/6/19,202225,209,loc1
2022/6/26,202226,189,loc1
2022/7/3,202227,155,loc1
2022/7/10,202228,144,loc1
2022/7/17,202229,194,loc1
2022/7/24,202230,148,loc1
2022/7/31,202231,145,loc1
2022/8/7,202232,106,loc1
2022/8/14,202233,110,loc1
2022/8/21,202234,99,loc1
2022/8/28,202235,94,loc1
2022/9/4,202236,101,loc1
2022/9/11,202237,120,loc1
2022/9/18,202238,102,loc1
2022/9/25,202239,95,loc1
2022/10/2,202240,102,loc1
2022/10/9,202241,123,loc1
2022/10/16,202242,160,loc1
2022/10/23,202243,139,loc1
2022/10/30,202244,131,loc1
2022/11/6,202245,171,loc1
2022/11/13,202246,129,loc1
2022/11/20,202247,94,loc1
2022/11/27,202248,86,loc1
2022/12/4,202249,98,loc1
2022/12/11,202250,123,loc1
2022/12/18,202251,117,loc1
2022/12/25,202252,163,loc1
2023/1/1,202301,230,loc1
2023/1/8,202302,217,loc1
2023/1/15,202303,246,loc1
2023/1/22,202304,311,loc1
2023/1/29,202305,384,loc1
2023/2/5,202306,524,loc1
2023/2/12,202307,371,loc1
2023/2/19,202308,506,loc1
2023/2/26,202309,872,loc1
2023/3/5,202310,944,loc1
2023/3/12,202311,1125,loc1
2023/3/19,202312,1382,loc1
2023/3/26,202313,1578,loc1
2023/4/2,202314,1419,loc1
2023/4/9,202315,1782,loc1
2023/4/16,202316,1499,loc1
2023/4/23,202317,1571,loc1
2023/4/30,202318,1919,loc1
2023/5/7,202319,1807,loc1
2023/5/14,202320,1731,loc1
2023/5/21,202321,1478,loc1
2023/5/28,202322,1328,loc1
2023/6/4,202323,1238,loc1
2023/6/11,202324,1348,loc1
2023/6/18,202325,1236,loc1
2023/6/25,202326,996,loc1
2023/7/2,202327,835,loc1
2023/7/9,202328,769,loc1
2023/7/16,202329,646,loc1
2023/7/23,202330,557,loc1
